predictor,importance,Total,importance_stnd,species,LC_type,LC_category
ALAN_mean,657.5836072951392,11761.550974125808,5.590959974086369,Lesser Kestrel,Dense,ALAN
pland_LCCS2_c36_herbaceous_cropland,303.219378357117,11761.550974125808,2.5780560661103986,Lesser Kestrel,Open,Cropland
pland_LCCS1_c31_dense_herbaceous,276.840511449394,11761.550974125808,2.353775552717617,Lesser Kestrel,Open,Herbaceous Plant Cover
pland_LCCS1_c22_sparse_forest,212.47203459279555,11761.550974125808,1.8064967372093357,Lesser Kestrel,Dense,Forest
pland_LCCS1_c43_sparse_shrubland,134.70128552929668,11761.550974125808,1.1452680503245325,Lesser Kestrel,Open,Shrubland
pland_ASTWBD_c03_lake,129.31952926358977,11761.550974125808,1.0995108514861631,Lesser Kestrel,Open,Water Body
pland_LCCS1_c32_sparse_herbaceous,104.58616266951212,11761.550974125808,0.8892208425537658,Lesser Kestrel,Open,Herbaceous Plant Cover
pland_ASTWBD_c01_ocean,104.37313450065064,11761.550974125808,0.8874096174072681,Lesser Kestrel,Open,Water Body
pland_LCCS1_c01_barren,97.83857149131008,11761.550974125808,0.8318509328110281,Lesser Kestrel,Open,Barren
pland_LCCS1_c21_open_forest,92.0340749966671,11761.550974125808,0.7824994781651887,Lesser Kestrel,Dense,Forest
pland_LCCS1_c14_deciduous_broadleaf,58.498429096477125,11761.550974125808,0.4973700256468523,Lesser Kestrel,Dense,Forest
pland_LCCS1_c42_shrubland_grassland_mosaic,58.384559188575906,11761.550974125808,0.49640187180258694,Lesser Kestrel,Open,Mixed
pland_LCCS2_c25_forest_cropland_mosaic,57.92805294402041,11761.550974125808,0.49252052787473455,Lesser Kestrel,Dense,Mixed
pland_ASTWBD_c02_river,47.09551596018978,11761.550974125808,0.4004192649744496,Lesser Kestrel,Open,Water Body
pland_LCCS1_c11_evergreen_needleleaf,38.68661321121946,11761.550974125808,0.32892441903560166,Lesser Kestrel,Dense,Forest
pland_LCCS3_c50_herbaceous_wetland,35.894648425078394,11761.550974125808,0.305186352582605,Lesser Kestrel,Open,Wetland
pland_LCCS1_c12_evergreen_broadleaf,25.32234288381164,11761.550974125808,0.21529765028029188,Lesser Kestrel,Dense,Forest
pland_LCCS1_c15_mixed_broadleaf_needleleaf,17.232285134634974,11761.550974125808,0.14651371381669148,Lesser Kestrel,Dense,Forest
pland_LCCS1_c41_dense_shrubland,13.149143755682337,11761.550974125808,0.11179770240004136,Lesser Kestrel,Open,Shrubland
pland_LCCS1_c16_mixed_broadleaf_evergreen_deciduous,4.740355313764631,11761.550974125808,0.04030382833176442,Lesser Kestrel,Dense,Forest
pland_LCCS3_c27_woody_wetland,4.035991520200102,11761.550974125808,0.03431513011403738,Lesser Kestrel,Dense,Wetland
pland_LCCS3_c51_tundra,3.5891641584255294,11761.550974125808,0.03051607875799134,Lesser Kestrel,Open,Tundra
pland_LCCS2_c35_natural_herbaceous_cropland_mosaic,2.786671096228708,11761.550974125808,0.02369305801895596,Lesser Kestrel,Open,Mixed
pland_LCCS1_c02_permanent_snow_ice,0.5079169647650833,11761.550974125808,0.00431845226775319,Lesser Kestrel,Open,Snow & Ice
pland_LCCS1_c13_deciduous_needleleaf,0.1738253811014032,11761.550974125808,0.00147791206690172,Lesser Kestrel,Dense,Forest
pland_LCCS1_c31_dense_herbaceous,25.76414669541634,683.4291666469627,3.769834234880593,Malagasy Kestrel,Open,Herbaceous Plant Cover
ALAN_mean,24.820512073461273,683.4291666469627,3.6317607273385137,Malagasy Kestrel,Dense,ALAN
pland_LCCS1_c12_evergreen_broadleaf,18.615807491982245,683.4291666469627,2.7238825031883027,Malagasy Kestrel,Dense,Forest
pland_LCCS1_c21_open_forest,13.535321637655874,683.4291666469627,1.980501023107166,Malagasy Kestrel,Dense,Forest
pland_LCCS1_c22_sparse_forest,12.89340475846948,683.4291666469627,1.886575140146132,Malagasy Kestrel,Dense,Forest
pland_ASTWBD_c01_ocean,8.943358431542066,683.4291666469627,1.3086006374910708,Malagasy Kestrel,Open,Water Body
pland_ASTWBD_c03_lake,7.942235600438772,683.4291666469627,1.1621154009866064,Malagasy Kestrel,Open,Water Body
pland_LCCS1_c14_deciduous_broadleaf,7.739432279897975,683.4291666469627,1.132441027922344,Malagasy Kestrel,Dense,Forest
pland_LCCS1_c42_shrubland_grassland_mosaic,6.860824529142063,683.4291666469627,1.0038823134813826,Malagasy Kestrel,Open,Mixed
pland_LCCS2_c36_herbaceous_cropland,4.954213210129434,683.4291666469627,0.7249051477325403,Malagasy Kestrel,Open,Cropland
pland_ASTWBD_c02_river,3.7869794467618902,683.4291666469627,0.5541144030099788,Malagasy Kestrel,Open,Water Body
pland_LCCS1_c41_dense_shrubland,2.815283309477586,683.4291666469627,0.4119349080885613,Malagasy Kestrel,Open,Shrubland
pland_LCCS1_c43_sparse_shrubland,2.776982758709475,683.4291666469627,0.40633073539045694,Malagasy Kestrel,Open,Shrubland
pland_LCCS1_c32_sparse_herbaceous,2.3330850211341887,683.4291666469627,0.3413791999221749,Malagasy Kestrel,Open,Herbaceous Plant Cover
pland_LCCS3_c50_herbaceous_wetland,1.031272528852384,683.4291666469627,0.150896768704211,Malagasy Kestrel,Open,Wetland
pland_LCCS1_c16_mixed_broadleaf_evergreen_deciduous,0.600281350724059,683.4291666469627,0.08783373318249743,Malagasy Kestrel,Dense,Forest
pland_LCCS3_c27_woody_wetland,0.3135199088892547,683.4291666469627,0.04587452865487798,Malagasy Kestrel,Dense,Wetland
pland_LCCS2_c25_forest_cropland_mosaic,0.00900937787920531,683.4291666469627,0.00131826066531621,Malagasy Kestrel,Dense,Mixed
